,Bids
2016012804,-85.0
2016012805,-85.0
2016012806,-85.0
2016012807,-85.0
2016012808,-85.0
2016012809,-85.0
2016012810,-85.0
2016012811,-85.0
2016012812,-85.0
2016012813,-150.0
2016012814,-85.0
2016012815,-60.75
2016012816,-60.75
2016012817,-60.75
2016012818,-75.0
2016012819,-75.0
2016012820,-75.0
2016012821,-75.0
2016012822,-60.75
2016012823,-60.75
2016012824,-60.75
2016012825,-85.0
2016012826,-85.0
2016012827,-85.0
2016012828,-85.0
2016012829,-85.0
2016012830,-85.0
2016012831,-85.0
2016012832,-85.0
2016012833,-85.0
2016012834,-85.0
2016012835,-85.0
2016012836,-60.75
2016012837,-60.37
2016012838,-60.75
2016012839,-60.75
2016012840,-60.75
2016012841,-60.75
2016012842,-60.75
2016012843,-85.0
2016012844,-85.0
2016012845,-85.0
2016012846,-85.0
2016012847,-85.0
2016012848,-85.0
2016012901,-85.0
2016012902,-97.0
2016012903,-100.0
2016012904,-100.0
2016012905,-100.0
2016012906,-100.0
2016012907,-100.0
2016012908,-100.0
2016012909,-97.0
2016012910,-97.0
2016012911,-85.0
2016012912,-85.0
2016012913,-82.93
2016012914,-63.72
2016012915,-58.86
2016012916,0.0
2016012917,0.0
2016012918,0.0
2016012919,0.0
2016012920,0.0
2016012921,0.0
2016012922,0.0
2016012923,0.0
2016012924,0.0
2016012925,-58.86
2016012926,-63.72
2016012927,-63.72
2016012928,-63.72
2016012929,-63.72
2016012930,-63.72
2016012931,-100.0
2016012932,-100.0
2016012933,-63.72
2016012934,-63.72
2016012935,-100.0
2016012936,-100.0
2016012937,-100.0
2016012938,-100.0
2016012939,-100.0
2016012940,-100.0
2016012941,-100.0
2016012942,-100.0
2016012943,-100.0
2016012944,-100.0
2016012945,-100.0
2016012946,-63.72
2016012947,-85.0
2016012948,-85.0
2016013001,-85.0
2016013002,-85.0
2016013003,-85.0
2016013004,-85.0
2016013005,-97.0
2016013006,-97.0
2016013007,-97.0
2016013008,-97.0
2016013009,-97.0
2016013010,-97.0
2016013011,-97.0
2016013012,-97.0
2016013013,-150.0
2016013014,-100.0
2016013015,-100.0
2016013016,-85.0
2016013017,-85.0
2016013018,-85.0
2016013019,-63.72
2016013020,-63.72
2016013021,-63.72
2016013022,-63.72
2016013023,-63.72
2016013024,-63.72
2016013025,-63.72
2016013026,-63.72
2016013027,-63.72
2016013028,-63.72
2016013029,-63.72
2016013030,-63.72
2016013031,-63.72
2016013032,-63.72
2016013033,-63.72
2016013034,-63.72
2016013035,-60.75
2016013036,-60.75
2016013037,-58.86
2016013038,-58.86
2016013039,-58.86
2016013040,-58.86
2016013041,0.0
2016013042,-85.0
2016013043,-85.0
2016013044,-85.0
2016013045,-85.0
2016013046,-85.0
2016013047,-85.0
2016013048,-85.0
2016013101,-85.0
2016013102,-85.0
2016013103,-85.0
2016013104,-85.0
2016013105,-85.0
2016013106,-85.0
2016013107,-85.0
2016013108,0.0
2016013109,0.0
2016013110,0.0
2016013111,0.0
2016013112,0.0
2016013113,20.56
2016013114,-35.0
2016013115,-35.0
2016013116,-150.0
2016013117,21.07
2016013118,21.0
2016013119,21.07
2016013120,21.07
2016013121,21.07
2016013122,21.0
2016013123,21.0
2016013124,21.0
2016013125,21.0
2016013126,21.0
2016013127,0.0
2016013128,17.0
2016013129,21.0
2016013130,21.07
2016013131,0.0
2016013132,0.0
2016013133,21.07
2016013134,0.0
